experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,optimizer,learning_rate,momentum,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,early_stopping_monitor,val_loss_best,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5018102526664734,0.383780300617218,0.7721943048576214,0.7598499061913696,0.7699805068226121,0.7410881801125704,0.7552581261950286
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,21,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5042731165885925,0.33995485305786133,0.7710241465445462,0.7560975609756098,0.8053691275167785,0.6754221388367729,0.7346938775510204
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5008191466331482,0.4193628430366516,0.7750631844987362,0.7551594746716698,0.7411347517730497,0.7842401500938087,0.7620783956244302
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,84,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5002306699752808,0.3516083359718323,0.7759472817133444,0.7523452157598499,0.7796257796257796,0.7035647279549718,0.7396449704142012
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5023593306541443,0.35060182213783264,0.7726894254787677,0.7560975609756098,0.7861635220125787,0.7035647279549718,0.7425742574257426
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,168,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.4994446039199829,0.3744845390319824,0.7750410509031198,0.7589118198874296,0.7623574144486692,0.7523452157598499,0.7573182247403211
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,210,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5025599002838135,0.39745646715164185,0.7721311475409837,0.7589118198874296,0.7482014388489209,0.7804878048780488,0.7640036730945822
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,252,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.502314567565918,0.4062446653842926,0.7753086419753087,0.7598499061913696,0.7400346620450606,0.801125703564728,0.7693693693693694
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,314,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5019611120223999,0.4033377170562744,0.7748344370860928,0.7589118198874296,0.7482014388489209,0.7804878048780488,0.7640036730945822
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,420,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_loss,0.5012837648391724,0.37108322978019714,0.7749999999999999,0.7570356472795498,0.7729083665338645,0.7279549718574109,0.7497584541062802
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5021224617958069,0.37315770983695984,0.7741393786733837,0.7598499061913696,0.7731755424063116,0.7354596622889306,0.7538461538461538
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,21,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,0.0,all,val_loss,0.505433201789856,0.41860318183898926,0.7721518987341772,0.7476547842401501,0.8,0.6604127579737336,0.723535457348407
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5000455379486084,0.3893345594406128,0.7742474916387959,0.7617260787992496,0.7559633027522936,0.7729831144465291,0.764378478664193
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,84,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5000278353691101,0.3519671559333801,0.7722772277227723,0.7551594746716698,0.7687747035573123,0.7298311444652908,0.7487969201154957
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5023658871650696,0.33584532141685486,0.7740345110928513,0.7532833020637899,0.774390243902439,0.7148217636022514,0.7434146341463415
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,168,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.4996911585330963,0.3601292669773102,0.7744052502050862,0.7514071294559099,0.7547528517110266,0.7448405253283302,0.7497639282341831
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,210,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_loss,0.5039006471633911,0.3657468855381012,0.7717303005686434,0.7542213883677298,0.75139146567718,0.7598499061913696,0.7555970149253731
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,252,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,0.0,all,val_loss,0.5018327832221985,0.48774534463882446,0.7793594306049821,0.7664165103189493,0.745674740484429,0.8086303939962477,0.7758775877587759
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,314,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,0.0,all,val_loss,0.502993106842041,0.41686341166496277,0.7747899159663866,0.7598499061913696,0.7541284403669725,0.7711069418386491,0.7625231910946196
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,420,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.2,0.0,all,val_loss,0.5006058812141418,0.39859870076179504,0.7744107744107743,0.7673545966228893,0.7693761814744802,0.7636022514071295,0.7664783427495292
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5013357996940613,0.3684922456741333,0.7737704918032786,0.7654784240150094,0.7736943907156673,0.7504690431519699,0.7619047619047619
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,21,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5035708546638489,0.37051913142204285,0.7727659574468085,0.7523452157598499,0.7943107221006565,0.6810506566604128,0.7333333333333333
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5013306736946106,0.4100610315799713,0.7784232365145227,0.7579737335834896,0.7450980392156863,0.7842401500938087,0.7641681901279708
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,84,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5011460781097412,0.38380613923072815,0.7754056362083689,0.7504690431519699,0.7834394904458599,0.6923076923076923,0.7350597609561753
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5014421939849854,0.3549228012561798,0.7730263157894737,0.7514071294559099,0.7757201646090535,0.7073170731707317,0.7399411187438666
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,168,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.49984845519065857,0.413506418466568,0.7761702127659574,0.7589118198874296,0.7623574144486692,0.7523452157598499,0.7573182247403211
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,210,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5029197931289673,0.42650699615478516,0.7707979626485569,0.7617260787992496,0.7540983606557377,0.776735459662289,0.7652495378927912
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,252,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5003949403762817,0.4799502193927765,0.7779751332149201,0.7607879924953096,0.743859649122807,0.7954971857410882,0.7688123300090662
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,314,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5016500949859619,0.4044671356678009,0.7744610281923714,0.7598499061913696,0.7495495495495496,0.7804878048780488,0.7647058823529411
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,420,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,10,0.1,0.0,all,val_loss,0.5010806322097778,0.38551339507102966,0.7740303541315345,0.7570356472795498,0.7718253968253969,0.7298311444652908,0.7502410800385728
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,7,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5006148815155029,0.3761823773384094,0.7739783152627189,0.7579737335834896,0.7680311890838206,0.7392120075046904,0.7533460803059273
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,21,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,12,0.3,0.0,all,val_loss,0.5052269697189331,0.3332689702510834,0.7719298245614036,0.7617260787992496,0.791231732776618,0.7110694183864915,0.7490118577075099
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,42,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.49854913353919983,0.3962591290473938,0.7778709136630343,0.7570356472795498,0.7555970149253731,0.7598499061913696,0.7577174929840973
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,84,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.4985983669757843,0.40661466121673584,0.7754749568221072,0.7579737335834896,0.7712031558185405,0.7335834896810507,0.7519230769230769
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,126,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5016516447067261,0.35324451327323914,0.7760199833472107,0.7523452157598499,0.7750511247443763,0.7110694183864915,0.7416829745596869
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,168,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.49801498651504517,0.3846779465675354,0.7725392886683209,0.7570356472795498,0.7565543071161048,0.7579737335834896,0.7572633552014996
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,210,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5022889971733093,0.3816168010234833,0.7722772277227723,0.7542213883677298,0.7523277467411545,0.7579737335834896,0.7551401869158878
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,252,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5017715096473694,0.5066533088684082,0.7770814682184423,0.7626641651031895,0.7380952380952381,0.8142589118198874,0.7743086529884032
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,314,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.5024330615997314,0.4345555305480957,0.7747899159663866,0.7570356472795498,0.7337883959044369,0.8067542213883677,0.7685433422698839
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,420,10000,2,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.3,0.0,all,val_loss,0.49955666065216064,0.47531938552856445,0.774077407740774,0.7617260787992496,0.7550274223034735,0.774859287054409,0.7648148148148148
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,7,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48740094900131226,0.4087165594100952,0.7726864330637917,0.7664165103189493,0.7921810699588477,0.7223264540337712,0.7556427870461236
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,21,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.2,0.0,all,val_f1,0.4881548285484314,0.38851040601730347,0.7762803234501348,0.7636022514071295,0.7945492662473794,0.7110694183864915,0.7504950495049505
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,42,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48565569519996643,0.4134491980075836,0.7783687943262412,0.7645403377110694,0.7797619047619048,0.7373358348968105,0.7579556412729026
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,84,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.4860900044441223,0.3898930251598358,0.7770034843205575,0.7682926829268293,0.7954545454545454,0.7223264540337712,0.7571288102261554
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,126,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,11,0.2,0.0,all,val_f1,0.48711293935775757,0.4179510176181793,0.7651858567543064,0.7598499061913696,0.7721021611001965,0.7373358348968105,0.7543186180422264
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,168,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.2,0.0,all,val_f1,0.48611563444137573,0.41144028306007385,0.773186409550046,0.7701688555347092,0.7938775510204081,0.7298311444652908,0.7605083088954057
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,210,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48995742201805115,0.4309318959712982,0.7718360071301248,0.7682926829268293,0.7739463601532567,0.7579737335834896,0.7658767772511849
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,252,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.2,0.0,all,val_f1,0.48553213477134705,0.45922383666038513,0.7846012832263979,0.7682926829268293,0.7771317829457365,0.7523452157598499,0.7645376549094376
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,314,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.2,0.0,all,val_f1,0.48418065905570984,0.436818927526474,0.776888888888889,0.7673545966228893,0.764378478664193,0.7729831144465291,0.7686567164179104
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,420,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.2,0.0,all,val_f1,0.48549240827560425,0.4160858690738678,0.7747747747747747,0.7711069418386491,0.7816764132553606,0.7523452157598499,0.7667304015296367
