experiment,description,seed,max_tokens,ngrams,normalize_tfidf,hidden_units,parameters,optimizer,learning_rate,momentum,batch_size,epochs_requested,epochs_ran,dropout,l2,train_limit,early_stopping_monitor,val_loss_best,best_threshold,val_f1_tuned,val_accuracy,val_precision,val_recall,val_f1
gen_tokens_1k,Vocabulario reducido a 1000 tokens: menos ruido de palabras raras.,7,1000,2,True,"(32,)",32065,adam,0.001,0.0,32,12,6,0.0,0.0,all,val_f1,0.5764057636260986,0.4987306594848633,0.7211774325429272,0.6894934333958724,0.6598101265822784,0.7823639774859287,0.7158798283261802
gen_tokens_1k,Vocabulario reducido a 1000 tokens: menos ruido de palabras raras.,42,1000,2,True,"(32,)",32065,adam,0.001,0.0,32,12,12,0.0,0.0,all,val_f1,0.5724392533302307,0.3503020703792572,0.7267267267267268,0.6979362101313321,0.6815834767641996,0.7429643527204502,0.7109515260323159
gen_tokens_1k,Vocabulario reducido a 1000 tokens: menos ruido de palabras raras.,126,1000,2,True,"(32,)",32065,adam,0.001,0.0,32,12,11,0.0,0.0,all,val_f1,0.5724407434463501,0.4101535677909851,0.7233691164327003,0.6904315196998124,0.7025948103792415,0.6604127579737336,0.6808510638297872
gen_tokens_2k,Vocabulario reducido a 2000 tokens: punto medio entre ruido y cobertura.,7,2000,2,True,"(32,)",64065,adam,0.001,0.0,32,12,12,0.0,0.0,all,val_f1,0.5484245419502258,0.3518345355987549,0.7446300715990454,0.7213883677298312,0.7137681159420289,0.7392120075046904,0.7262672811059908
gen_tokens_2k,Vocabulario reducido a 2000 tokens: punto medio entre ruido y cobertura.,42,2000,2,True,"(32,)",64065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_f1,0.5487884283065796,0.4164745509624481,0.741518578352181,0.7157598499061913,0.7024647887323944,0.7485928705440901,0.7247956403269755
gen_tokens_2k,Vocabulario reducido a 2000 tokens: punto medio entre ruido y cobertura.,126,2000,2,True,"(32,)",64065,adam,0.001,0.0,32,12,12,0.0,0.0,all,val_f1,0.5502822399139404,0.2822060286998749,0.74375,0.7213883677298312,0.7369477911646586,0.6885553470919324,0.7119301648884578
gen_tokens_5k,Vocabulario de 5000 tokens: compromiso entre el actual (10k) y los reducidos.,7,5000,2,True,"(32,)",160065,adam,0.001,0.0,32,12,11,0.0,0.0,all,val_f1,0.52052241563797,0.4309667944908142,0.7575496117342537,0.7467166979362101,0.7495256166982922,0.7410881801125704,0.7452830188679245
gen_tokens_5k,Vocabulario de 5000 tokens: compromiso entre el actual (10k) y los reducidos.,42,5000,2,True,"(32,)",160065,adam,0.001,0.0,32,12,10,0.0,0.0,all,val_f1,0.5203362107276917,0.482647031545639,0.756513926325247,0.7467166979362101,0.7377938517179023,0.7654784240150094,0.7513812154696132
gen_tokens_5k,Vocabulario de 5000 tokens: compromiso entre el actual (10k) y los reducidos.,126,5000,2,True,"(32,)",160065,adam,0.001,0.0,32,12,11,0.0,0.0,all,val_f1,0.5210337042808533,0.4208672940731048,0.7578757875787578,0.7476547842401501,0.7832618025751072,0.6848030018761726,0.7307307307307307
gen_unigrams,"Unigramas en lugar de bigramas: menor dimensionalidad, menos overfitting.",7,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.0,0.0,all,val_f1,0.4888686537742615,0.3966923356056213,0.7708894878706198,0.7654784240150094,0.7870182555780934,0.7279549718574109,0.7563352826510721
gen_unigrams,"Unigramas en lugar de bigramas: menor dimensionalidad, menos overfitting.",42,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,8,0.0,0.0,all,val_f1,0.4875063896179199,0.3963654935359955,0.7746478873239437,0.7626641651031895,0.7777777777777778,0.7354596622889306,0.7560270009643202
gen_unigrams,"Unigramas en lugar de bigramas: menor dimensionalidad, menos overfitting.",126,10000,1,True,"(32,)",320065,adam,0.001,0.0,32,12,9,0.0,0.0,all,val_f1,0.4889369010925293,0.4170381724834442,0.7704918032786885,0.7673545966228893,0.7914110429447853,0.726078799249531,0.7573385518590998
