experiment,description,hidden_units,parameters,optimizer,learning_rate,momentum,dropout,l2,ngrams,normalize_tfidf,val_f1_tuned_mean,val_f1_tuned_std,val_f1_ci_low,val_f1_ci_high,val_f1_at_05_mean,threshold_mean,epochs_mean,val_loss_best_mean
gen2_dropout03_valloss,Dropout 0.3 + early stopping val_loss.,"(32,)",320065,adam,0.001,0.0,0.3,0.0,2,True,0.775956404090988,0.0019470778920990582,0.773978315262719,0.7778709136630343,0.7509155159499038,0.3752286732196808,11.0,0.5002718865871429
gen2_dropout01_valloss,Dropout 0.1 + early stopping val_loss.,"(32,)",320065,adam,0.001,0.0,0.1,0.0,2,True,0.7750733480357583,0.0029248528339045413,0.7730263157894738,0.7784232365145227,0.7553380235921998,0.37782535950342816,10.0,0.5013695557912191
gen2_unigrams_valloss,Unigramas + early stopping val_loss.,"(32,)",320065,adam,0.001,0.0,0.0,0.0,1,True,0.7749101732704551,0.0024491326772757773,0.7726027397260274,0.7774798927613942,0.7538928233972585,0.40774906675020856,8.0,0.4884373148282369
gen_dropout_02,Dropout 0.2: apaga neuronas en entrenamiento para reducir dependencia.,"(32,)",320065,adam,0.001,0.0,0.2,0.0,2,True,0.774896992296437,0.0023810879299164503,0.773067331670823,0.7775891341256367,0.7547986474084394,0.38956056038538617,10.0,0.501511295636495
gen2_dropout02_valloss_lr0005,Dropout 0.2 + early stopping val_loss + Adam lr=0.0005.,"(32,)",320065,adam,0.0005,0.0,0.2,0.0,2,True,0.7742301789711729,0.0005868009385251367,0.7736625514403292,0.7748344370860928,0.7484414664361952,0.3599209686120351,12.0,0.5008435646692911
gen2_dropout02_valloss,Dropout 0.2 + early stopping val_loss.,"(32,)",320065,adam,0.001,0.0,0.2,0.0,2,True,0.7741404604683435,0.00010649439397438739,0.7740345110928514,0.7742474916387959,0.7538797555522295,0.36611253023147583,11.0,0.501511295636495
gen2_dropout02_l2_1e5,Dropout 0.2 + L2=0.00001.,"(32,)",320065,adam,0.001,0.0,0.2,1e-05,2,True,0.7741195321188723,0.004156061913390377,0.7693574958813838,0.7770154373927959,0.7560101120661838,0.40053311983744305,10.666666666666666,0.5265894134839376
gen_es_valloss,Early stopping sobre val_loss: frena cuando empeora calibracion.,"(32,)",320065,adam,0.001,0.0,0.0,0.0,2,True,0.7733156382783752,0.001533533322622913,0.7721943048576213,0.7750631844987362,0.7533035930817338,0.38458165526390076,10.0,0.5016629099845886
gen2_l2_1e5,L2=0.00001: regularizacion muy suave.,"(32,)",320065,adam,0.001,0.0,0.0,1e-05,2,True,0.7723895770540548,0.000722275825064852,0.7718696397941681,0.7732142857142857,0.7547777010420299,0.4431723654270172,9.666666666666666,0.5278835495313009
gen2_unigrams_dropout02,Unigramas + dropout 0.2.,"(32,)",320065,adam,0.001,0.0,0.2,0.0,1,True,0.7720803613814464,0.006612333394459786,0.7651858567543064,0.7783687943262412,0.7559723487870843,0.41337225834528607,9.0,0.48672319451967877
gen_unigrams,"Unigramas en lugar de bigramas: menor dimensionalidad, menos overfitting.","(32,)",320065,adam,0.001,0.0,0.0,0.0,1,True,0.7720097261577507,0.0022933510443828055,0.7704918032786884,0.7746478873239436,0.756566945158164,0.4033653338750203,8.666666666666666,0.4884373148282369
gen_units_16,Capa oculta de 16 neuronas: menos parametros que el ganador (32).,"(16,)",160033,adam,0.001,0.0,0.0,0.0,2,True,0.7719066257415691,0.0025591103451491812,0.769620253164557,0.7746710526315791,0.7529527949298634,0.35824811458587646,11.666666666666666,0.5009687344233195
