experiment,description,hidden_units,parameters,dropout,l2,ngrams,normalize_tfidf,val_f1_tuned_mean,val_f1_tuned_std,val_f1_ci_low,val_f1_ci_high,val_f1_at_05_mean,threshold_mean,epochs_mean
e9_mlp32_bigrams,"MLP chica con unigramas, bigramas y normalizacion L2.","(32,)",320065,0.0,0.0,2,True,0.7722159581202519,0.0034432089407141373,0.7700664907551587,0.7741522509328846,0.7592318512254,0.43549421727657317,8.7
e5_dropout_128,Red amplia con dropout moderado.,"(128,)",640257,0.2,0.0,1,False,0.769729297877473,0.004737508797327662,0.7670142928709818,0.7725262165596841,0.760512065191484,0.33859847858548164,9.2
e1_linear,Baseline lineal: TF-IDF conectado directamente a la salida.,(),5001,0.0,0.0,1,False,0.7696908931314657,0.0020801806270097883,0.7685013074566676,0.770945464720832,0.7460814066632488,0.3570781797170639,10.3
e3_dropout_32,Red chica con dropout moderado.,"(32,)",160065,0.2,0.0,1,False,0.7692971631654999,0.0030213217611588265,0.7676308300665181,0.7711448938647764,0.7578934241326107,0.3153363808989525,8.9
e7_combined_128,Configuracion amplia con dropout y L2 del estudio anterior.,"(128,)",640257,0.5,0.0001,1,False,0.7685340243495443,0.0056385300355582145,0.7649508645390954,0.7716211010395322,0.7599279049199337,0.36617787927389145,9.2
e2_more_capacity,Mayor capacidad: mas neuronas en una sola capa oculta.,"(128,)",640257,0.0,0.0,1,False,0.76819753979707,0.0035504623111296263,0.7662134888939002,0.7703128777548748,0.759165860961861,0.3451637953519821,8.9
e6_l2_128,Red amplia con regularizacion L2.,"(128,)",640257,0.0,0.0001,1,False,0.7657760034529743,0.004890362761679697,0.762977487090197,0.7687203038879109,0.7581117182854284,0.3653979629278183,9.5
e0_baseline,Modelo simple inicial.,"(32,)",160065,0.0,0.0,1,False,0.7651138569500778,0.0033310057053173386,0.7631516995699321,0.7670301364708851,0.754128489565062,0.3841835826635361,8.1
e4_l2_32,Red chica con regularizacion L2.,"(32,)",160065,0.0,0.0001,1,False,0.7648487846589307,0.0039647830504532895,0.7623955017414217,0.7671054205372798,0.7558402317550341,0.37308519184589384,9.3
e8_linear_bigrams,"Baseline lineal con unigramas, bigramas y normalizacion L2.",(),10001,0.0,0.0,2,True,0.7613006435364069,0.0018153360205074582,0.7602227029444167,0.7623655661325985,0.7328179969324924,0.4882039278745651,11.5
